Area,Lat,Lon,text,fontsize,fonttype,angle,col,Type
481,-61.37,-63.12,48.1,1.5,2,0,black,L
481,-62.36,-52.5,481_1,1,2,-7,darkgreen,L
481,-63.35,-52.5,481_2,1,2,-7,darkgreen,L
481,-64.62,-52.5,481_3,1,2,-7,darkgreen,L
486,-60.53,4.76,48.6,1.5,2,0,black,L
486,-55.02,-9.25,A,1,2,0,grey40,L
486,-62.25,-14.8,B,1,2,0,grey40,L
486,-62.27,-4.97,C,1,2,0,grey40,L
486,-62.13,4.71,D,1,2,0,grey40,L
486,-62.28,14.57,E,1,2,0,grey40,L
486,-62.21,24.81,F,1,2,0,grey40,L
486,-55.18,15.75,G,1,2,0,grey40,L
486,-51.96,5.01,486_2,1,2,0,darkgreen,L
486,-63.53,4.23,486_3,1,2,0,darkgreen,L
486,-68.32,16.91,486_4,1,2,0,darkgreen,L
486,-68.44,-10.85,486_5,1,2,0,darkgreen,L
486,-57.77,4.09,Bouvet Island,0.8,1,0,black,L
486,-54.42,3.41,,,,,,S
486,-57.03,3.79,,,,,,E
486,-65.93,-6.51,Maud Rise,0.8,1,0,black,L
486,-65.63,-2,,,,,,S
486,-65.14,2.71,,,,,,E
486,-64.8,16,Astrid Ridge,0.8,1,0,black,L
486,-65.84,11.86,,,,,,S
486,-68.1,11.8,,,,,,E
48,-60.88,-63.2,48.1,1.5,2,0,black,L
48,-58.65,-37.24,48.2,1.5,2,0,black,L
48,-51.17,-39.46,48.3,1.5,2,0,black,L
48,-53.71,-25.28,48.4,1.5,2,0,black,L
48,-61.65,-66.86,1,1,2,0,orange,L
48,-64.02,-63.83,2,1,2,0,orange,L
48,-62.44,-61.46,3,1,2,0,orange,L
48,-61.58,-58.46,4,1,2,0,orange,L
48,-60.75,-55.47,5,1,2,0,orange,L
48,-63.43,-60.32,6,1,2,0,orange,L
48,-62.53,-57.25,7,1,2,0,orange,L
48,-63.79,-55.51,8,1,2,0,orange,L
48,-54.31,-35.23,SGE,1,2,0,orange,L
48,-52.14,-42.48,SGPA,1,2,0,orange,L
48,-54.06,-39.34,SGW,1,2,0,orange,L
48,-59.38,-42.24,SONE,1,2,0,orange,L
48,-60.27,-37.57,SOPA,1,2,0,orange,L
48,-61.81,-42.4,SOSE,1,2,0,orange,L
48,-59.76,-49.86,SOW,1,2,0,orange,L
48,-58.67,-26.12,SSI,1,2,0,orange,L
48,-57.28,-22.53,SSPA,1,2,0,orange,L
482,-60.53,-40,48.2,1.5,2,0,black,L
482,-59.57,-36.13,482_N,1,2,0,darkgreen,L
482,-61.89,-35.88,482_S,1,2,0,darkgreen,L
483,-51.17,-39.46,48.3,1.5,2,0,black,L
483,-54.24,-45.75,483A,1,2,0,darkred,L
483,-54.23,-41.75,483B,1,2,0,darkred,L
483,-53.03,-34.49,483C,1,2,0,darkred,L
