Name,Lat,Lon
D1MPA-GPZ-SOI,-60.25,-45.25
D1MPA-GPZ-SOI,-60.25,-43.5
D1MPA-GPZ-SOI,-61.5,-43.5
D1MPA-GPZ-SOI,-61.5,-44
D1MPA-GPZ-SOI,-62,-44
D1MPA-GPZ-SOI,-62,-46
D1MPA-GPZ-SOI,-61.25,-46
D1MPA-GPZ-SOI,-61.25,-45.25
Area A,-59.67,-48
Area A,-59.67,-43.5
Area A,-62,-43.5
Area A,-62,-48
Area B,-59.67,-48
Area B,-59.67,-41
Area B,-61.5,-41
Area B,-61.5,-44
Area B,-62,-44
Area B,-62,-46
Area B,-61.5,-46
Area B,-61.5,-48
Area C,-59.67,-48
Area C,-59.67,-41
Area C,-62.5,-41
Area C,-62.5,-48
Area D,-59.67,-48.5
Area D,-59.67,-40.5
Area D,-63.25,-40.5
Area D,-63.25,-48.5
